,fipscode,dem_votes,gop_votes,total_votes,dem_percent,gop_percent,State,County,less_than_HighSchool,has_HighSchool,some_College,Undergrad_plus,Winner
0,39001,2150,6216,8366,0.256992589,0.743007411,OH,Adams County,21.8,45.7,21.7,10.9,GOP
1,39003,10510,23759,34269,0.306691179,0.693308821,OH,Allen County,10.7,38.9,33,17.4,GOP
2,39005,5076,12657,17733,0.286245982,0.713754018,OH,Ashland County,12.6,43.1,24.7,19.6,GOP
3,39007,13368,16860,30228,0.442238984,0.557761016,OH,Ashtabula County,14.6,44.3,28,13.1,GOP
4,39009,13268,7186,20454,0.648675076,0.351324924,OH,Athens County,10.3,32.9,27.7,29.1,DEM
5,39011,3570,14620,18190,0.196261682,0.803738318,OH,Auglaize County,7.2,44.6,30.4,17.8,GOP
6,39013,8517,15385,23902,0.356330014,0.643669986,OH,Belmont County,10.1,42.4,31.1,16.4,GOP
7,39015,3630,10490,14120,0.257082153,0.742917847,OH,Brown County,14.7,47.7,25.1,12.4,GOP
8,39017,47313,81131,128444,0.368355081,0.631644919,OH,Butler County,10.3,33.3,27.2,29.1,GOP
9,39019,3068,6676,9744,0.314860427,0.685139573,OH,Carroll County,13,47.8,27.8,11.4,GOP
10,39021,4106,9830,13936,0.294632606,0.705367394,OH,Champaign County,10.9,45.4,27.3,16.5,GOP
11,39023,18079,27388,45467,0.39762905,0.60237095,OH,Clark County,12.8,37.1,32.1,18,GOP
12,39025,23327,52541,75868,0.307468234,0.692531766,OH,Clermont County,10.4,33.5,28.5,27.6,GOP
13,39027,3562,10613,14175,0.251287478,0.748712522,OH,Clinton County,11.5,42.2,29.8,16.5,GOP
14,39029,11451,22482,33933,0.337459111,0.662540889,OH,Columbiana County,12.4,45.4,28.3,13.9,GOP
15,39031,3648,7608,11256,0.324093817,0.675906183,OH,Coshocton County,14.3,49.3,24.4,12.1,GOP
16,39033,4128,9594,13722,0.300830783,0.699169217,OH,Crawford County,11.5,45.8,30,12.7,GOP
17,39035,312147,148045,460192,0.678297319,0.321702681,OH,Cuyahoga County,11.5,28.3,29.3,30.9,DEM
18,39037,3755,14918,18673,0.201092486,0.798907514,OH,Darke County,11.1,48.5,27.3,13.1,GOP
19,39039,4575,8747,13322,0.343416904,0.656583096,OH,Defiance County,10.2,44.6,29.5,15.8,GOP
20,39041,38429,52255,90684,0.42376825,0.57623175,OH,Delaware County,3.4,20.5,23.7,52.5,GOP
21,39043,14132,14319,28451,0.496713648,0.503286352,OH,Erie County,9.4,38.3,30.7,21.6,GOP
22,39045,21928,34604,56532,0.387886507,0.612113493,OH,Fairfield County,8.3,33.8,31.5,26.4,GOP
23,39047,2337,5849,8186,0.285487418,0.714512582,OH,Fayette County,12.6,49.4,23.5,14.5,GOP
24,39049,299927,162328,462255,0.648834518,0.351165482,OH,Franklin County,9.6,25,27,38.4,DEM
25,39051,5184,10344,15528,0.333848532,0.666151468,OH,Fulton County,9.6,42,31.4,17,GOP
26,39053,2648,6708,9356,0.283026935,0.716973065,OH,Gallia County,19.5,40.4,24.7,15.4,GOP
27,39055,15482,24943,40425,0.382980829,0.617019171,OH,Geauga County,8.9,27,26.8,37.3,GOP
28,39057,23664,41068,64732,0.365568807,0.634431193,OH,Greene County,7.4,25.2,29.8,37.6,GOP
29,39059,3881,8085,11966,0.324335618,0.675664382,OH,Guernsey County,15.5,42.3,28.5,13.7,GOP
30,39061,174781,145164,319945,0.546284518,0.453715482,OH,Hamilton County,9.9,27,27.5,35.6,DEM
31,39063,8286,18851,27137,0.305339573,0.694660427,OH,Hancock County,7.5,36.4,30.3,25.8,GOP
32,39065,2669,6196,8865,0.30107163,0.69892837,OH,Hardin County,10.6,48.9,26.2,14.4,GOP
33,39067,1755,3805,5560,0.315647482,0.684352518,OH,Harrison County,14.1,47.2,29,9.7,GOP
34,39069,3051,7168,10219,0.298561503,0.701438497,OH,Henry County,8.7,44.3,30.9,16,GOP
35,39071,3185,9812,12997,0.245056552,0.754943448,OH,Highland County,16.1,43.2,28.7,12,GOP
36,39073,3558,5896,9454,0.376348635,0.623651365,OH,Hocking County,11.6,45.3,29,14.1,GOP
37,39075,1577,6929,8506,0.185398542,0.814601458,OH,Holmes County,41.5,36.3,14.4,7.7,GOP
38,39077,6401,11391,17792,0.359768435,0.640231565,OH,Huron County,12.3,47,27.2,13.5,GOP
39,39079,2977,6753,9730,0.305960946,0.694039054,OH,Jackson County,15.8,42.7,24.6,16.9,GOP
40,39081,8717,14609,23326,0.373703164,0.626296836,OH,Jefferson County,10.1,42.2,32.2,15.4,GOP
41,39083,6883,14369,21252,0.3238754,0.6761246,OH,Knox County,10.4,41.1,26.6,21.9,GOP
42,39085,40144,49666,89810,0.446988086,0.553011914,OH,Lake County,8.1,33.5,31.5,27,GOP
43,39087,6414,13239,19653,0.326362387,0.673637613,OH,Lawrence County,14.3,41.6,29.9,14.1,GOP
44,39089,24434,40654,65088,0.375399459,0.624600541,OH,Licking County,9.6,36.4,30.7,23.3,GOP
45,39091,3910,11628,15538,0.251641138,0.748358862,OH,Logan County,10.4,49.2,24.9,15.6,GOP
46,39093,57039,51037,108076,0.527767497,0.472232503,OH,Lorain County,10.8,32.2,33.5,23.5,DEM
47,39095,87624,56001,143625,0.610088773,0.389911227,OH,Lucas County,11.2,30.4,33.3,25.1,DEM
48,39097,4287,8861,13148,0.326057195,0.673942805,OH,Madison County,13.3,42,28.4,16.4,GOP
49,39099,48600,37976,86576,0.561356496,0.438643504,OH,Mahoning County,9.9,37.9,29.4,22.8,DEM
50,39101,6877,12214,19091,0.360222094,0.639777906,OH,Marion County,13.4,43.1,31.2,12.3,GOP
51,39103,28987,42904,71891,0.403207634,0.596792366,OH,Medina County,6.4,31.9,30.3,31.5,GOP
52,39105,2239,5303,7542,0.296870857,0.703129143,OH,Meigs County,16,43.2,27.3,13.4,GOP
53,39107,3121,13527,16648,0.187469966,0.812530034,OH,Mercer County,8.2,47.8,27.1,16.8,GOP
54,39109,8974,24695,33669,0.266535983,0.733464017,OH,Miami County,10.9,36,32,21.1,GOP
55,39111,1748,3192,4940,0.353846154,0.646153846,OH,Monroe County,12.5,51.1,25.7,10.7,GOP
56,39113,96564,97677,194241,0.497135002,0.502864998,OH,Montgomery County,10.4,28.4,35.1,26.1,GOP
57,39115,1631,3227,4858,0.33573487,0.66426513,OH,Morgan County,12.3,46.7,28.9,12.2,GOP
58,39117,3544,8987,12531,0.28281861,0.71718139,OH,Morrow County,13.9,45.5,27.1,13.5,GOP
59,39119,9490,18345,27835,0.340937668,0.659062332,OH,Muskingum County,13.5,41.4,30,15.1,GOP
60,39121,1319,3095,4414,0.29882193,0.70117807,OH,Noble County,15.9,49.8,24.8,9.5,GOP
61,39123,7564,9719,17283,0.4376555,0.5623445,OH,Ottawa County,7.7,37.7,33.3,21.3,GOP
62,39125,1936,4648,6584,0.294046173,0.705953827,OH,Paulding County,9.8,49.7,27.5,13,GOP
63,39127,3692,7263,10955,0.337015062,0.662984938,OH,Perry County,16.1,44.3,27.7,12,GOP
64,39129,6061,12953,19014,0.31876512,0.68123488,OH,Pickaway County,12.9,43.3,26.5,17.3,GOP
65,39131,3190,5276,8466,0.376801323,0.623198677,OH,Pike County,21.9,40.7,25.2,12.3,GOP
66,39133,27602,28829,56431,0.489128316,0.510871684,OH,Portage County,8.1,37.2,27.4,27.3,GOP
67,39135,3621,11238,14859,0.243690693,0.756309307,OH,Preble County,11.2,44.8,30.5,13.5,GOP
68,39137,2637,11712,14349,0.183775873,0.816224127,OH,Putnam County,7.1,42.3,31.1,19.4,GOP
69,39139,14462,27898,42360,0.341406988,0.658593012,OH,Richland County,12.8,40.9,29.9,16.4,GOP
70,39141,8506,13631,22137,0.384243574,0.615756426,OH,Ross County,14.3,43.6,26.8,15.3,GOP
71,39143,8565,12196,20761,0.412552382,0.587447618,OH,Sandusky County,10.7,42.3,32.2,14.8,GOP
72,39145,8590,14133,22723,0.37803107,0.62196893,OH,Scioto County,15.9,40.6,28.5,15,GOP
73,39147,6370,11375,17745,0.358974359,0.641025641,OH,Seneca County,9.2,45.5,30.6,14.7,GOP
74,39149,3952,13641,17593,0.224634798,0.775365202,OH,Shelby County,9.3,43.4,30.2,17.1,GOP
75,39151,58534,73756,132290,0.442467307,0.557532693,OH,Stark County,9.6,37.9,29.9,22.6,GOP
76,39153,114223,86431,200654,0.569253541,0.430746459,OH,Summit County,9,32.1,28.1,30.7,DEM
77,39155,37789,33609,71398,0.529272529,0.470727471,OH,Trumbull County,11.1,45.2,25.7,18,DEM
78,39157,11438,19069,30507,0.374930344,0.625069656,OH,Tuscarawas County,14.1,46.4,24.5,15,GOP
79,39159,7406,15172,22578,0.328018425,0.671981575,OH,Union County,8.1,35.7,27.2,29.1,GOP
80,39161,2276,8063,10339,0.220137344,0.779862656,OH,Van Wert County,8.5,47.6,26.8,17.2,GOP
81,39163,1365,2527,3892,0.350719424,0.649280576,OH,Vinton County,19.2,46.3,25,9.6,GOP
82,39165,29921,64703,94624,0.316209418,0.683790582,OH,Warren County,7.1,26.1,25.8,41,GOP
83,39167,7059,15151,22210,0.317829806,0.682170194,OH,Washington County,9.8,41.3,30.5,18.4,GOP
84,39169,13184,24838,38022,0.34674662,0.65325338,OH,Wayne County,14.6,40.5,23.4,21.5,GOP
85,39171,3551,9203,12754,0.278422456,0.721577544,OH,Williams County,11.4,45,29.4,14.2,GOP
86,39173,22230,24687,46917,0.473815461,0.526184539,OH,Wood County,5.9,31.4,31,31.7,GOP
87,39175,2257,5478,7735,0.291790562,0.708209438,OH,Wyandot County,9.7,48,27.7,14.6,GOP
